day,sentiment_score,prob_negative,prob_neutral,prob_positive,tweet_count
2010-06-04,0.4939,0.113,0.586,0.302,1
2011-12-01,0.4466,0.0,0.8365,0.1635,2
2011-12-03,0.2997,0.093,0.7525,0.1545,2
2011-12-04,0.7346,0.0,0.618,0.382,1
2011-12-21,0.23022857142857142,0.08614285714285715,0.7234285714285714,0.19042857142857142,7
2011-12-22,0.13396666666666665,0.0,0.9603333333333334,0.03966666666666666,3
2011-12-24,0.2488666666666667,0.064,0.778,0.158,3
2011-12-26,0.32001999999999997,0.012,0.8465999999999999,0.1414,5
2011-12-27,0.7579,0.0,0.711,0.289,1
2011-12-28,0.7485,0.0,0.239,0.761,1
2011-12-29,0.51644,0.0268,0.7466,0.2266,5
2011-12-30,0.4956571428571429,0.014142857142857143,0.7852857142857143,0.2005714285714286,7
2011-12-31,-0.27476666666666666,0.2363333333333333,0.6383333333333333,0.12566666666666668,3
2012-01-01,0.006300000000000002,0.18814285714285714,0.6482857142857144,0.16342857142857142,7
2012-01-03,0.5722333333333333,0.029333333333333333,0.7626666666666667,0.20766666666666667,3
2012-01-06,0.10606666666666666,0.0,0.9696666666666666,0.030333333333333334,3
2012-01-11,0.6616,0.0,0.845,0.155,1
2012-01-12,0.2451,0.035666666666666666,0.816,0.14833333333333332,3
2012-01-13,0.0,0.0,1.0,0.0,1
2012-01-14,-0.40135,0.268,0.679,0.053,2
2012-01-17,-0.03503333333333334,0.118,0.7706666666666667,0.11166666666666665,3
2012-01-18,-0.4939,0.132,0.868,0.0,1
2012-01-22,0.0,0.0,1.0,0.0,1
2012-01-23,0.6361,0.0,0.811,0.189,1
2012-01-24,0.22340000000000002,0.087,0.7095,0.20350000000000001,2
2012-01-27,0.5994,0.0,0.698,0.302,1
2012-01-28,0.11015,0.152,0.781,0.067,2
2012-01-31,0.079,0.133,0.718,0.149,1
2012-02-01,0.27985,0.059,0.8175,0.1235,2
2012-02-02,0.4576,0.0,0.824,0.176,1
2012-02-04,0.31845,0.0565,0.758,0.185,2
2012-02-05,0.0,0.0,1.0,0.0,1
2012-02-06,0.125,0.0,0.9475,0.0525,2
2012-02-07,0.6096,0.0,0.773,0.227,1
2012-02-08,0.2517333333333333,0.08600000000000001,0.7306666666666667,0.18333333333333335,3
2012-02-09,0.0,0.0,1.0,0.0,1
2012-02-10,0.179725,0.0375,0.83375,0.12875,4
